date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:56	149596/149596	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:19%20GMT	http://gpgproperty.com.au/Index/News	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News.html	(from )
01:33:56	3456/3456	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202014%2015:34:19%20GMT	http://gpgproperty.com.au/robots.txt		(from )
01:34:06	2516512/2516512	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:19%20GMT	http://gpgproperty.com.au/	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/index.html	(from )
01:34:07	49738/49738	---M-Z	200	added ('OK')	text/css	etag:%224f750719259cf1:0%22	http://gpgproperty.com.au/Content/Site.css	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/Site.css	(from http://gpgproperty.com.au/)
01:34:09	6114/6114	---M-Z	200	added ('OK')	application/javascript	etag:%227f2a3849259cf1:0%22	http://gpgproperty.com.au/Scripts/ellipsis.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/ellipsis.js	(from http://gpgproperty.com.au/)
01:34:09	266882/266882	---MCZ	200	added ('OK')	application/javascript	etag:%228f8497879259cf1:0%22	http://gpgproperty.com.au/Scripts/jquery-1.8.2.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/jquery-1.8.2.js	(from http://gpgproperty.com.au/)
01:34:09	2842/2842	---M-Z	200	added ('OK')	application/javascript	etag:%2218a162849259cf1:0%22	http://gpgproperty.com.au/Scripts/client.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/client.js	(from http://gpgproperty.com.au/)
01:34:09	129/129	---M--	302	error ('Found')	text/html	date:Tue,%2027%20May%202014%2015:34:32%20GMT	http://gpgproperty.com.au/Index/Lang/English	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/English.5.delayed	(from http://gpgproperty.com.au/)
01:34:10	129/129	---M--	302	error ('Found')	text/html	date:Tue,%2027%20May%202014%2015:34:33%20GMT	http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.7.delayed	(from http://gpgproperty.com.au/)
01:34:12	42242/42242	---M--	200	added ('OK')	image/png	etag:%22efd9d0729259cf1:0%22	http://gpgproperty.com.au/Content/lib/GPG.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/GPG.png	(from http://gpgproperty.com.au/)
01:34:13	183782/183782	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:34%20GMT	http://gpgproperty.com.au/Index/Home	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Home.html	(from http://gpgproperty.com.au/)
01:34:31	1226597/1226597	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:35%20GMT	http://gpgproperty.com.au/Index/SubCatalog/1	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/SubCatalog/1.html	(from http://gpgproperty.com.au/)
01:34:33	1226597/1226597	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:36%20GMT	http://gpgproperty.com.au/Index/SubCatalog/2	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/SubCatalog/2.html	(from http://gpgproperty.com.au/)
01:34:39	2516512/2516512	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:33%20GMT	http://gpgproperty.com.au/Index/Index	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Index.html	(from http://gpgproperty.com.au/)
01:34:40	1942261/1942261	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:35%20GMT	http://gpgproperty.com.au/Index/Catalog/1	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Catalog/1.html	(from http://gpgproperty.com.au/)
01:34:53	1226635/1226635	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:56%20GMT	http://gpgproperty.com.au/Index/Catalog/3	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Catalog/3.html	(from http://gpgproperty.com.au/)
01:34:58	1773931/1773931	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:34:55%20GMT	http://gpgproperty.com.au/Index/Catalog/2	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Catalog/2.html	(from http://gpgproperty.com.au/)
01:34:59	1226629/1226629	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:03%20GMT	http://gpgproperty.com.au/Index/Catalog/4	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Catalog/4.html	(from http://gpgproperty.com.au/)
01:35:00	1226598/1226598	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:03%20GMT	http://gpgproperty.com.au/Index/SubCatalog/3	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/SubCatalog/3.html	(from http://gpgproperty.com.au/)
01:35:10	1226598/1226598	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:16%20GMT	http://gpgproperty.com.au/Index/SubCatalog/4	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/SubCatalog/4.html	(from http://gpgproperty.com.au/)
01:35:32	2667158/2667158	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:22%20GMT	http://gpgproperty.com.au/Index/ContactUs	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/ContactUs.html	(from http://gpgproperty.com.au/)
01:35:33	1511397/1511397	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:32%20GMT	http://gpgproperty.com.au/Index/Property/5	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Property/5.html	(from http://gpgproperty.com.au/)
01:35:55	3887656/3887656	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:23%20GMT	http://gpgproperty.com.au/Index/Agent	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Agent.html	(from http://gpgproperty.com.au/)
01:35:57	1707118/1707118	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:55%20GMT	http://gpgproperty.com.au/Index/Property/4	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Property/4.html	(from http://gpgproperty.com.au/)
01:35:57	1620384/1620384	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:57%20GMT	http://gpgproperty.com.au/Index/Property/3	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Property/3.html	(from http://gpgproperty.com.au/)
01:36:00	5371/5371	---M--	200	added ('OK')	image/png	etag:%225d558759259cf1:0%22	http://gpgproperty.com.au/Content/lib/social/facebook.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/social/facebook.png	(from http://gpgproperty.com.au/)
01:36:01	5290/5290	---M--	200	added ('OK')	image/png	etag:%22158e41759259cf1:0%22	http://gpgproperty.com.au/Content/lib/social/linkedin.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/social/linkedin.png	(from http://gpgproperty.com.au/)
01:36:03	5350/5350	---M--	200	added ('OK')	image/png	etag:%22d0c96779259cf1:0%22	http://gpgproperty.com.au/Content/lib/social/youtube.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/social/youtube.png	(from http://gpgproperty.com.au/)
01:36:05	5459/5459	---M--	200	added ('OK')	image/png	etag:%2216c0b0769259cf1:0%22	http://gpgproperty.com.au/Content/lib/social/twitter.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/social/twitter.png	(from http://gpgproperty.com.au/)
01:36:05	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.1e.delayed	(from http://gpgproperty.com.au/Index/News)
01:36:07	4906576/4906576	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:35:24%20GMT	http://gpgproperty.com.au/Index/Property/6	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Property/6.html	(from http://gpgproperty.com.au/)
01:36:08	969/969	---M--	200	added ('OK')	image/png	etag:%222dec2739259cf1:0%22	http://gpgproperty.com.au/Content/lib/Orange.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/Orange.png	(from http://gpgproperty.com.au/Content/Site.css)
01:36:10	1617/1617	---M--	200	added ('OK')	image/png	etag:%22141167739259cf1:0%22	http://gpgproperty.com.au/Content/lib/spec.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/spec.png	(from http://gpgproperty.com.au/Content/Site.css)
01:36:10	365645/365645	---MCZ	200	added ('OK')	application/javascript	etag:%22441cfe8a9259cf1:0%22	http://gpgproperty.com.au/Scripts/jquery-ui-1.8.24.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/jquery-ui-1.8.24.js	(from http://gpgproperty.com.au/Index/News)
01:36:10	3480/3480	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202014%2015:36:33%20GMT	http://gpgproperty.com.au/Content/lib/Banner.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/Banner.22.delayed	(from http://gpgproperty.com.au/Content/Site.css)
01:36:10	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.23.delayed	(from http://gpgproperty.com.au/Index/Index)
01:36:11	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.24.delayed	(from http://gpgproperty.com.au/Index/Home)
